Date;Class;ExpirationDate;InterestRate;MinToExpiration;YearsToExpiration;SymbolId;Strike;DeltaStrike;PutCall;Premium;Volume;Forward;AtmStrike
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBd;22.750.000;50.000;P;1.396.000;303;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwAH;22.800.000;50.000;P;1.381.000;298;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272kB;22.850.000;50.000;P;1.323.000;297;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwA6;22.900.000;50.000;P;1.445.000;295;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272hI;22.950.000;50.000;P;1.464.000;295;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwA3;23.000.000;50.000;P;1.500.000;298;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272hK;23.050.000;50.000;P;1.501.000;292;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBT;23.100.000;50.000;P;1.520.000;291;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272hZ;23.150.000;50.000;P;1.587.000;289;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBI;23.200.000;50.000;P;1.606.000;286;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBb;23.250.000;50.000;P;1.571.000;289;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBK;23.300.000;50.000;P;1.646.000;283;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272gi;23.350.000;50.000;P;1.665.000;283;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBB;23.400.000;50.000;P;1.685.000;282;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272jh;23.450.000;50.000;P;1.705.000;282;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBG;23.500.000;50.000;P;1.726.000;280;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272gh;23.550.000;50.000;P;1.600.000;280;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwD4;23.600.000;50.000;P;1.767.000;277;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;0272hk;23.650.000;50.000;P;1.742.000;277;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4H;23.700.000;50.000;P;1.833.000;206;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwBZ;23.750.000;50.000;P;1.856.000;206;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwD3;23.800.000;50.000;P;1.877.000;205;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;026S76;23.850.000;50.000;P;1.788.000;203;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zwD1;23.900.000;50.000;P;1.810.000;201;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4D;23.950.000;50.000;P;1.833.000;201;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4E;24.000.000;50.000;P;1.951.000;102;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4F;24.000.000;50.000;C;1.951.000;168;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4B;24.050.000;50.000;C;1.751.000;266;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw4A;24.100.000;50.000;C;1.724.000;264;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw49;24.150.000;50.000;C;1.697.000;263;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw47;24.200.000;50.000;C;1.600.000;261;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw45;24.250.000;50.000;C;1.550.000;264;24.010.006;24.000.000
