#;Company;Symbol;Weight;      Price;Chg;% Chg
157;Ford Motor Company;F;0,132261;12,91;0,02;-0,15%
158;IQVIA Holdings Inc;IQV;0,13198;263,22;0;0,00%
159;Biogen Inc.;BIIB;0,131552;333;-0,6;(-0,18%)
160;Public Storage;PSA;0,130863;330,76;0;0,00%
161;T. Rowe Price Group;TROW;0,130742;221,41;2,84;-1,30%
162;TE Connectivity Ltd.;TEL;0,130023;149,67;0;0,00%
163;eBay Inc.;EBAY;0,128623;76,21;-0,32;(-0,42%)
164;Exelon Corporation;EXC;0,127243;49,82;0;0,00%
165;L3Harris Technologies Inc;LHX;0,125219;234,18;2,44;-1,05%
166;Trane Technologies plc;TT;0,124711;199,94;0;0,00%
167;Kimberly-Clark Corporation;KMB;0,123468;140,75;0;0,00%
168;American International Group Inc.;AIG;0,123371;55,1;0;0,00%
169;Carrier Global Corp.;CARR;0,123105;57,41;0;0,00%
170;Digital Realty Trust Inc.;DLR;0,122746;167,6;0;0,00%
171;Newmont Corporation;NEM;0,122223;59,67;0;0,00%
172;Global Payments Inc.;GPN;0,121795;158,01;0;0,00%
173;Dow Inc.;DOW;0,121365;62,12;0;0,00%
174;General Dynamics Corporation;GD;0,120567;202,46;0;0,00%
175;Cadence Design Systems Inc.;CDNS;0,119867;165,74;0,03;-0,02%
176;Amphenol Corporation Class A;APH;0,119747;77,04;0;0,00%
177;MetLife Inc.;MET;0,11944;61,22;0;0,00%
178;IHS Markit Ltd.;INFO;0,118189;121,9;-0,34;(-0,27%)
179;American Electric Power Company Inc.;AEP;0,117482;90,41;0;0,00%
180;Simon Property Group Inc.;SPG;0,11657;135,75;0;0,00%
181;Bank of New York Mellon Corporation;BK;0,113972;53,93;0;0,00%
182;ResMed Inc.;RMD;0,111423;295,8;0;0,00%
183;Microchip Technology Incorporated;MCHP;0,111284;156,89;0,06;-0,04%
184;Fortinet Inc.;FTNT;0,110575;320;-0,19;(-0,06%)
185;Sempra Energy;SRE;0,110446;133,41;0;0,00%
186;Ross Stores Inc.;ROST;0,108321;116;0,62;-0,54%
187;Electronic Arts Inc.;EA;0,108316;146,5;-0,1;(-0,07%)
188;Motorola Solutions Inc.;MSI;0,108197;244,75;-0,1;(-0,04%)
189;Prudential Financial Inc.;PRU;0,107718;104,89;0;0,00%
190;Cognizant Technology Solutions Corporation Class A;CTSH;0,106136;76,55;0;0,00%
191;Aptiv PLC;APTV;0,106109;149,93;0;0,00%
192;Baxter International Inc.;BAX;0,106104;82,71;0;0,00%
193;O'Reilly Automotive Inc.;ORLY;0,105102;584,8;0;0,00%
194;Travelers Companies Inc.;TRV;0,104939;159,17;0;0,00%
195;Allstate Corporation;ALL;0,104397;133,97;0;0,00%
196;SBA Communications Corp. Class A;SBAC;0,104257;366,48;0;0,00%
197;Schlumberger NV;SLB;0,104042;28,09;0;0,00%
198;Sysco Corporation;SYY;0,104042;77,1;-0,25;(-0,32%)
199;EOG Resources Inc.;EOG;0,103769;68,11;0,12;-0,18%
200;DuPont de Nemours Inc.;DD;0,102389;72,08;0;0,00%
201;Yum! Brands Inc.;YUM;0,10179;130,92;0;0,00%
202;Parker-Hannifin Corporation;PH;0,099009;289,91;0;0,00%
203;Rockwell Automation Inc.;ROK;0,098819;324;0;0,00%
204;Xilinx Inc.;XLNX;0,098545;155,76;-0,2;(-0,13%)
205;Xcel Energy Inc.;XEL;0,098529;69,8;0;0,00%
206;Discover Financial Services;DFS;0,098455;122,99;0;0,00%
207;International Flavors & Fragrances Inc.;IFF;0,097972;150,91;0;0,00%
208;PPG Industries Inc.;PPG;0,097767;155,66;0;0,00%
209;Centene Corporation;CNC;0,09775;64,37;0;0,00%
210;Otis Worldwide Corporation;OTIS;0,096665;92,06;0,24;-0,26%
211;Walgreens Boots Alliance Inc;WBA;0,096595;51,29;0;0,00%
212;Marathon Petroleum Corporation;MPC;0,096032;58,24;0;0,00%
213;Welltower Inc.;WELL;0,095268;86,75;0;0,00%
214;Mettler-Toledo International Inc.;MTD;0,095072;   1,575,31;0;0,00%
215;Paychex Inc.;PAYX;0,094941;113,72;0,12;-0,11%
216;Monster Beverage Corporation;MNST;0,093866;98,81;1,23;-1,26%
217;Marriott International Inc. Class A;MAR;0,093704;132,75;-0,25;(-0,19%)
218;Constellation Brands Inc. Class A;STZ;0,09346;211,83;0;0,00%
219;Kroger Co.;KR;0,093235;46,58;-0,07;(-0,15%)
220;HP Inc.;HPQ;0,09257;29,9;0,04;-0,13%
221;Aflac Incorporated;AFL;0,092133;55,71;0;0,00%
222;General Mills Inc.;GIS;0,09211;57,77;0;0,00%
223;First Republic Bank;FRC;0,091847;202,13;0;0,00%
224;Cintas Corporation;CTAS;0,090968;396,53;0;0,00%
225;Pioneer Natural Resources Company;PXD;0,090413;149,88;0;0,00%
226;Cummins Inc.;CMI;0,090182;238,57;0;0,00%
227;Hilton Worldwide Holdings Inc;HLT;0,089836;123,6;0,52;-0,42%
228;Nucor Corporation;NUE;0,089376;114,05;0;0,00%
229;West Pharmaceutical Services Inc.;WST;0,088401;459;-5,38;(-1,16%)
230;American Water Works Company Inc.;AWK;0,088191;185,15;0;0,00%
231;Equifax Inc.;EFX;0,088059;279,77;1,49;-0,54%
232;Archer-Daniels-Midland Company;ADM;0,087487;60,2;0;0,00%
233;SVB Financial Group;SIVB;0,086975;571,51;0;0,00%
234;TransDigm Group Incorporated;TDG;0,086724;602,27;0;0,00%
235;Verisk Analytics Inc;VRSK;0,086625;204,61;-0,47;(-0,23%)
236;Keysight Technologies Inc;KEYS;0,086451;181,28;0;0,00%
237;Corteva Inc;CTVA;0,086186;44,92;0;0,00%
238;AutoZone Inc.;AZO;0,085668;   1,537,25;0;0,00%
